Lower tier local authorities Code,Lower tier local authorities,General health (3 categories) Code,General health (3 categories),Hours worked (5 categories) Code,Hours worked (5 categories),Method used to travel to workplace (12 categories) Code,Method used to travel to workplace (12 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,1,Work mainly at or from home,-8,Does not apply,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,1,Work mainly at or from home,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,1,Work mainly at or from home,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,1,Work mainly at or from home,3,L7: Intermediate occupations,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,1,Work mainly at or from home,4,L8 and L9: Small employers and own account workers,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,1,Work mainly at or from home,5,L10 and L11: Lower supervisory and technical occupations,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,1,Work mainly at or from home,6,L12: Semi-routine occupations,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,1,Work mainly at or from home,7,L13: Routine occupations,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,1,Work mainly at or from home,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,1,Work mainly at or from home,9,L15: Full-time students,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,2,"Underground, metro, light rail, tram",-8,Does not apply,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,2,"Underground, metro, light rail, tram",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,2,"Underground, metro, light rail, tram",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,2,"Underground, metro, light rail, tram",3,L7: Intermediate occupations,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,2,"Underground, metro, light rail, tram",4,L8 and L9: Small employers and own account workers,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,2,"Underground, metro, light rail, tram",5,L10 and L11: Lower supervisory and technical occupations,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,2,"Underground, metro, light rail, tram",6,L12: Semi-routine occupations,0
E09000027,Richmond upon Thames,-8,Does not apply,-8,Does not apply,2,"Underground, metro, light rail, tram",7,L13: Routine occupations,0
