gh_desc,Work Hours,Respondents,percentage,,,,,,,,,,,,,,,,,,,,,,,,
Good health,Full-time: 31 or more hours worked,186251,74.95,,,,,,,,,,,,,,,,,,,,,,,,
Good health,Part-time: 30 hours or less worked,58529,25.05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work Hours,Respondents,Percentage,Good Health,Not Good Health,,,,,,,,,,,,,,,,,,,,,,,
Full-time: 31 or more hours worked,186251,73.63,175135,11116,,,,,,,,,,,,,,,,,,,,,,,
Part-time: 30 hours or less worked,66692,26.37,58529,8163,,,,,,,,,,,,,,,,,,,,,,,
Total,253943,100,233664,19279,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel Method,Respondents,Percentage,,hrs_wrkd_desc,resp_count,Percentage,,,,,,,,,,,,,,,,,,,,,
Work mainly at or from home,135540,53.59,,Full-time: 31 or more hours worked,186251,73.63,,,,,,,,,,,,,,,,,,,,,
Driving a car or van,31214,12.34,,Part-time: 30 hours or less worked,66692,26.37,,,,,,,,,,,,,,,,,,,,,
"Underground, metro, light rail, tram",24346,9.63,,,,,,,,,,,,,,,,,,,,,,,,,
On foot,19289,7.63,,,,,,,,,,,,,,,,,,,,,,,,,
"Bus, minibus or coach",12944,5.12,,,,,,,,,,,,,,,,,,,,,,,,,
Train,11426,4.52,,,,,,,,,,,,,,,,,,,,,,,,,
Bicycle,11089,4.38,,,,,,,,,,,,,,,,,,,,,,,,,
Other method of travel to work,2551,1.01,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger in a car or van,1942,0.77,,,,,,,,,,,,,,,,,,,,,,,,,
"Motorcycle, scooter or moped",1433,0.57,,,,,,,,,,,,,,,,,,,,,,,,,
Taxi,1169,0.46,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel Method,Respondents,Percentage,Good Health,Not Good Health,,,,,,,,,,,,,,,,,,,,,,,
Work mainly at or from home,135540,53.59,127645,7895,,,,,,,,,,,,,,,,,,,,,,,
Driving a car or van,31214,12.34,27962,3252,,,,,,,,,,,,,,,,,,,,,,,
"Underground, metro, light rail, tram",24346,9.63,22396,1950,,,,,,,,,,,,,,,,,,,,,,,
On foot,19289,7.63,17401,1888,,,,,,,,,,,,,,,,,,,,,,,
"Bus, minibus or coach",12944,5.12,11080,1864,,,,,,,,,,,,,,,,,,,,,,,
Train,11426,4.52,10465,961,,,,,,,,,,,,,,,,,,,,,,,
Bicycle,11089,4.38,10568,521,,,,,,,,,,,,,,,,,,,,,,,
Other method of travel to work,2551,1.01,2142,409,,,,,,,,,,,,,,,,,,,,,,,
Passenger in a car or van,1942,0.77,1649,293,,,,,,,,,,,,,,,,,,,,,,,
"Motorcycle, scooter or moped",1433,0.57,1323,110,,,,,,,,,,,,,,,,,,,,,,,
Taxi,1169,0.46,1033,136,,,,,,,,,,,,,,,,,,,,,,,
Total,252943,100,233664,19279,,77125,,330068,,,,,,,,,,,,,,,,,,,
,,,,,,,,321386,,,,,,,,,,,,,,,,,,,
Including currently not working but have NS-Sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS-SeC ,Respondents,Percentage,Good Health,Not Good Health,,,,,,,,,,,,,,,,,,,,,,,
